Timestamp,Which age group do you belong to? ,  What is your gender?  ,What is your level of education? ,What is your primary occupation ?,"How many hours in a day, on average, do you spend in front of screens?",Which device do you use most frequently?,Which activity do you dedicate most of your screen time to?  ,Which app category do you use the most during your screen time?,During which part of the day do you spend most of your screen time?,What kind of environment helps you stay productive during screen use?,"After spending a long time in front of screens to complete a certain task, how do you generally feel about your productivity?",How long can you generally stay focused on a single screen-based task without distractions?,"How do you try to stay focused while working on a complex task (e.g, coding)?","While working on a screen-based task, how do you handle frequent notifications which distract you?",Does your attention span vary based on the type of task?,Do you use tools/apps to monitor or manage your screen time?,Did you struggle with your attention while filling out this survey? :)
11/26/2024 22:08:22,18–24,Male,Undergraduate,Student,More than 10,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Quite workplace,Moderately productive,10–30 minutes,Take regular breaks,Check them briefly and resume my work,"Yes, better/worse for repetitive tasks (e.g., data entry)","Yes, but i did not find them of any help",No
11/26/2024 22:29:33,18–24,Male,Undergraduate,Student,8-10,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Streaming (e.g., YouTube, Netflix)",Late night (10 PM–6 AM),Quite workplace,Moderately productive,More than 1 hour,"None, i prefer to work without any strategies",Ignore them until my task is completed,"No, it remains consistent","No, i do not use them",No
11/26/2024 22:30:07,45 and above,Female,masters,Freelance/Entrepreneur,4–6,Smartphone,Academic/Work-related,"Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Afternoon (12 PM–6 PM),I can work in any environment,Moderately productive,10–30 minutes,Take regular breaks,Check them briefly and resume my work,"Yes, better/worse for creative tasks (e.g., writing, designing)","No, i do not use them",No
11/26/2024 22:33:33,25–34,Male,Undergraduate,Professional,8-10,Laptop/PC,Academic/Work-related,"Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Afternoon (12 PM–6 PM),Quite workplace,"Extremely productive, i efficiently complete my tasks",10–30 minutes,"None, i prefer to work without any strategies",Ignore them until my task is completed,"Yes, better/worse for creative tasks (e.g., writing, designing)","No, i do not use them",No
11/26/2024 22:35:29,45 and above,Male,Post graduation ,Professional,8-10,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Afternoon (12 PM–6 PM),I can work in any environment,"Extremely productive, i efficiently complete my tasks",30–60 minutes,"None, i prefer to work without any strategies",Check them briefly and resume my work,"No, it remains consistent","No, i do not use them",No
11/26/2024 22:43:44,Below 18,Female,High school or below,Student,4–6,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Streaming (e.g., YouTube, Netflix)",Evening (6 PM–10 PM),Quite workplace,Moderately productive,10–30 minutes,"None, i prefer to work without any strategies",Check them briefly and resume my work,"Yes, better/worse for creative tasks (e.g., writing, designing)","No, i do not use them",I won't say
11/26/2024 22:47:18,35–44,Male,Graduate,Professional,8-10,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Evening (6 PM–10 PM),Quite workplace,Moderately productive,10–30 minutes,Eliminate all distractions,Turn off notifications altogether,"Yes, better/worse for repetitive tasks (e.g., data entry)","No, i do not use them",No
11/26/2024 22:49:21,18–24,Female,Undergraduate,Student,6–8,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Collaborative/team setting,"Unproductive, i might not have completed the task and got carried away",10–30 minutes,Eliminate all distractions,Check them briefly and resume my work,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","No, i do not use them",Yes
11/26/2024 23:01:57,Below 18,Male,High school or below,Student,More than 10,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Late night (10 PM–6 AM),Quite workplace,"Extremely productive, i efficiently complete my tasks",More than 1 hour,Take regular breaks,Check them briefly and resume my work,"Yes, better/worse for creative tasks (e.g., writing, designing)","No, i do not use them",No
11/26/2024 23:46:31,Below 18,Male,Undergraduate,Student,6–8,Laptop/PC,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Late night (10 PM–6 AM),Quite workplace,Moderately productive,30–60 minutes,"None, i prefer to work without any strategies",Turn off notifications altogether,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","No, i do not use them",No
